dispersal,wattage,date,week,metacommunity,tank,temp_mean,acari,calanoida,chaoborus,chironomidae,cyclopoida,daphnia,diaphanosoma,ostracoda,scapholeberis,simocephalus
none,0,2018-07-09,4,2,8,22.734295634920635,0,0,20,0,5,11,2,0,0,0
none,0,2018-07-09,4,4,14,22.17141865079365,0,4,24,4,4,36,64,0,4,76
none,0,2018-07-09,4,9,33,22.127480158730158,2,22,24,2,54,12,14,0,24,0
none,0,2018-07-09,4,11,41,21.904999999999998,2,10,6,2,8,30,4,0,16,0
none,0,2018-08-06,8,2,8,25.139652777777776,5,0,4,4,44,28,620,0,36,0
none,0,2018-08-06,8,4,14,24.240714285714287,8,0,68,0,8,0,960,0,140,4
none,0,2018-08-06,8,9,33,24.343720238095237,4,104,8,0,92,12,508,0,40,0
none,0,2018-08-06,8,11,41,24.2890873015873,0,4,7,0,5,0,1328,0,8,0
none,0,2018-09-03,12,2,8,20.659126984126985,8,0,4,0,12,172,476,0,4,0
none,0,2018-09-03,12,4,14,19.483452380952382,2,0,8,8,7,0,11,0,3,0
none,0,2018-09-03,12,9,33,19.914662698412698,16,0,0,2,140,12,1,0,596,0
none,0,2018-09-03,12,11,41,19.880347222222223,5,0,1,6,20,0,146,1,13,0
none,100,2018-07-09,4,2,7,23.674007936507937,0,19,7,0,5,56,159,0,1,0
none,100,2018-07-09,4,4,16,23.17125,0,0,26,0,6,14,24,0,12,0
none,100,2018-07-09,4,9,34,23.19171626984127,0,60,14,0,10,32,72,0,0,0
none,100,2018-07-09,4,11,42,22.952261904761905,2,9,14,4,4,2,2,0,8,0
none,100,2018-08-06,8,2,7,25.793035714285715,12,0,52,0,9,16,2576,0,24,0
none,100,2018-08-06,8,4,16,25.255634920634922,0,2,52,0,16,4,700,0,32,12
none,100,2018-08-06,8,9,34,25.387708333333332,0,20,24,8,24,0,1928,4,20,0
none,100,2018-08-06,8,11,42,25.626825396825396,12,12,12,0,12,8,1164,0,196,4
none,100,2018-09-03,12,2,7,21.16704365079365,2,0,6,0,27,2,567,0,2,0
none,100,2018-09-03,12,4,16,20.785119047619048,4,0,14,0,12,0,70,0,12,0
