tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
1,2018-06-14,high,100,1,20.970069444444444,25.35,2.570781899649078,18.19,TRUE
2,2018-06-14,high,200,1,21.48777777777778,25.61,2.4007281658896167,18.83,TRUE
3,2018-06-14,high,0,1,19.959305555555556,23.81,2.364895554333422,17.37,TRUE
4,2018-06-14,high,300,1,22.530833333333334,26.47,2.3436032564784135,19.9,TRUE
5,2018-06-14,none,200,2,21.83798611111111,25.91,2.4057624817689027,19.22,TRUE
6,2018-06-14,none,300,2,22.369166666666665,26.04,2.252160889308015,19.82,TRUE
7,2018-06-14,none,100,2,21.014652777777776,25.27,2.4755831165011446,18.32,TRUE
8,2018-06-14,none,0,2,19.992847222222224,23.85,2.3988347005476784,17.37,TRUE
9,2018-06-14,low,0,3,19.680555555555557,23.51,2.3850172706937323,17.07,TRUE
10,2018-06-14,low,100,3,20.88763888888889,24.71,2.367771070165957,18.23,TRUE
11,2018-06-14,low,300,3,22.429375,26.55,1.6103277774103324,20.42,TRUE
12,2018-06-14,low,200,3,21.307569444444443,25.61,1.5927823421765257,19.43,TRUE
13,2018-06-14,none,300,4,22.397083333333335,26.25,2.2477746182092493,19.9,TRUE
14,2018-06-14,none,0,4,19.589583333333334,23.42,2.4033106172687964,16.9,TRUE
15,2018-06-14,none,200,4,21.479097222222222,25.35,2.2634916134565266,18.92,TRUE
16,2018-06-14,none,100,4,20.665416666666665,24.45,2.3104626349310626,18.14,TRUE
17,2018-06-14,low,0,5,19.867013888888888,23.55,2.2622227697434236,17.37,TRUE
18,2018-06-14,low,100,5,20.776319444444443,24.54,2.3444684925642028,18.19,TRUE
19,2018-06-14,low,300,5,22.382430555555555,26.25,2.228979586076047,19.86,TRUE
20,2018-06-14,low,200,5,21.702638888888888,25.61,2.3613265165236923,19.09,TRUE
21,2018-06-14,high,100,6,21.29486111111111,25.52,2.509636528473896,18.53,TRUE
22,2018-06-14,high,200,6,21.891875,25.65,2.257725499660706,19.35,TRUE
23,2018-06-14,high,0,6,19.859375,23.76,2.413043871446286,17.16,TRUE
24,2018-06-14,high,300,6,22.94763888888889,26.9,2.266162149905847,20.37,TRUE
25,2018-06-14,low,200,7,21.87902777777778,25.87,2.3297241108743827,19.26,TRUE
26,2018-06-14,low,300,7,22.864583333333332,26.64,2.267277371280735,20.25,TRUE
27,2018-06-14,low,100,7,21.337222222222223,25.65,2.5556495607858047,18.57,TRUE
28,2018-06-14,low,0,7,20.00138888888889,23.81,2.466484321994549,17.24,TRUE
29,2018-06-14,high,100,8,20.776736111111113,24.79,2.4145343206961742,18.06,TRUE
30,2018-06-14,high,200,8,21.719166666666666,25.57,2.2851063845718844,19.17,TRUE
31,2018-06-14,high,0,8,19.634166666666665,23.29,2.2902036737226816,17.11,TRUE
32,2018-06-14,high,300,8,22.77263888888889,26.47,2.190107761857166,20.25,TRUE
33,2018-06-14,none,0,9,19.65277777777778,23.42,2.341642614083142,17.07,TRUE
34,2018-06-14,none,100,9,20.87638888888889,24.62,2.297001271378586,18.32,TRUE
35,2018-06-14,none,300,9,22.860902777777778,26.47,2.1854285119151178,20.37,TRUE
36,2018-06-14,none,200,9,21.90277777777778,25.57,2.237129293256756,19.39,TRUE
37,2018-06-14,high,200,10,21.99159722222222,25.87,2.3108699246525237,19.43,TRUE
38,2018-06-14,high,300,10,22.780069444444443,26.47,2.1725256793215535,20.29,TRUE
39,2018-06-14,high,100,10,21.181805555555556,25.35,2.497933034419547,18.44,TRUE
40,2018-06-14,high,0,10,19.862083333333334,23.64,2.433275692231687,17.16,TRUE
41,2018-06-14,none,0,11,19.55236111111111,23.21,2.325095376977794,16.99,TRUE
42,2018-06-14,none,100,11,20.712777777777777,24.66,2.380344467181123,18.1,TRUE
43,2018-06-14,none,300,11,22.89263888888889,26.38,2.173740608334682,20.37,TRUE
44,2018-06-14,none,200,11,22.06951388888889,26.34,2.4367725788846926,19.39,TRUE
45,2018-06-14,low,100,12,21.138472222222223,24.97,2.3379847037026296,18.57,TRUE
46,2018-06-14,low,200,12,21.693194444444444,25.44,2.2890889422875613,19.09,TRUE
47,2018-06-14,low,0,12,20.17125,24.36,2.578297230420032,17.33,TRUE
48,2018-06-14,low,300,12,22.587569444444444,26.42,2.242460638544958,19.95,TRUE
1,2018-06-15,high,100,1,22.665972222222223,26.17,2.0952735086728125,19.77,NA
2,2018-06-15,high,200,1,22.890069444444446,26.17,1.970888655669275,20.12,NA
3,2018-06-15,high,0,1,21.767847222222223,25.22,2.074876409899122,18.96,NA
4,2018-06-15,high,300,1,23.880347222222223,27.2,1.9778307723130188,21.19,NA
5,2018-06-15,none,200,2,23.433125,26.77,2.0533695550777704,20.59,NA
6,2018-06-15,none,300,2,23.7925,26.9,1.91923735581924,21.1,NA
7,2018-06-15,none,100,2,22.721666666666668,26.34,2.1318211788190715,19.73,NA
8,2018-06-15,none,0,2,21.721597222222222,25.14,2.083732081886522,18.79,NA
9,2018-06-15,low,0,3,21.308263888888888,24.75,2.033592477228934,18.49,NA
10,2018-06-15,low,100,3,22.31,25.44,1.9058536989177115,19.65,NA
11,2018-06-15,low,300,3,24.273888888888887,27.15,1.7887234621180614,21.79,NA
